"";"FECHA";"CLIENTE";"IMPORTE"
"39807";2013-08-04;70157019;"50,89"
"43024";2013-08-04;24425033;"18,00"
"4333";2013-08-05;1056199017;"32,92"
"13305";2013-08-05;3922480037;"61,70"
"16812";2013-08-05;7065392016;"50,00"
"17989";2013-08-05;3620183016;"69,56"
"19488";2013-08-05;2332472012;"40,00"
"20063";2013-08-05;1072860014;"61,02"
"29318";2013-08-05;3495175022;"76,00"
"32874";2013-08-05;7221105013;"40,00"
"42564";2013-08-05;45545017;"100,00"
"43312";2013-08-05;2323813018;"57,75"
"1032";2013-08-06;51211017;"30,00"
"1788";2013-08-06;3850546015;"72,20"
"5618";2013-08-06;3757493014;"40,01"
"6207";2013-08-06;7055082015;"42,02"
"7356";2013-08-06;3675514016;"87,02"
"10274";2013-08-06;1177126022;"50,00"
"12975";2013-08-06;1354568014;"60,04"
"15627";2013-08-06;20811046;"75,01"
"20789";2013-08-06;20811046;"57,84"
"24004";2013-08-06;3394116036;"20,00"
"27503";2013-08-06;1156857019;"73,00"
"28273";2013-08-06;1167561014;"50,00"
"29368";2013-08-06;1231899010;"62,01"
"33940";2013-08-06;2084265010;"45,63"
"37362";2013-08-06;1082011012;"31,93"
"39479";2013-08-06;1363641026;"50,00"
"41707";2013-08-06;1255418028;"50,00"
"5997";2013-08-07;2280304019;"101,27"
"10663";2013-08-07;1425630033;"77,07"
"12958";2013-08-07;1203071010;"20,00"
"18969";2013-08-07;1010535027;"57,27"
"19322";2013-08-07;2037341017;"17,38"
"19640";2013-08-07;1700752023;"40,00"
"31021";2013-08-07;7164870011;"56,51"
"37512";2013-08-07;2185261017;"50,24"
"12758";2013-08-08;1117745014;"40,00"
"12808";2013-08-08;1108458015;"30,00"
"13243";2013-08-08;3839140013;"52,60"
"13717";2013-08-08;51816013;"22,01"
"13758";2013-08-08;1055485011;"51,50"
"14030";2013-08-08;1226862025;"81,20"
"15350";2013-08-08;7203523019;"73,64"
"17533";2013-08-08;2323813018;"57,01"
"18283";2013-08-08;1251716011;"30,00"
"28864";2013-08-08;60809025;"40,00"
"34478";2013-08-08;2238902013;"50,00"
"35115";2013-08-08;44081014;"31,69"
"37596";2013-08-08;3673740027;"80,02"
"37684";2013-08-08;51816013;"20,00"
"39877";2013-08-08;3681930032;"61,30"
"1502";2013-08-09;7055082015;"43,00"
"2137";2013-08-09;1257272019;"46,88"
"4311";2013-08-09;1255418028;"56,01"
"4374";2013-08-09;1435209059;"71,03"
"6488";2013-08-09;1176059026;"40,85"
"10516";2013-08-09;1117610010;"61,00"
"14097";2013-08-09;3899811016;"64,44"
"14666";2013-08-09;2177478017;"50,00"
"14891";2013-08-09;1075285011;"35,59"
"15248";2013-08-09;3854620014;"75,32"
"19283";2013-08-09;45545017;"60,00"
"19289";2013-08-09;3620183016;"23,38"
"20478";2013-08-09;43727039;"35,83"
"21673";2013-08-09;76223013;"63,44"
"24783";2013-08-09;2280304019;"63,29"
"26314";2013-08-09;1203071010;"40,00"
"28610";2013-08-09;1055503011;"49,44"
"29308";2013-08-09;60713011;"49,08"
"29480";2013-08-09;3543445039;"30,00"
"30988";2013-08-09;1382780029;"88,02"
"31996";2013-08-09;2205781010;"55,96"
"34058";2013-08-09;10253019;"84,82"
"35103";2013-08-09;3157802012;"46,30"
"38681";2013-08-09;1409442025;"64,00"
"39224";2013-08-09;1144857014;"67,92"
"40051";2013-08-09;2246998011;"30,00"
"42410";2013-08-09;2282572019;"60,04"
"42976";2013-08-09;1288334012;"44,01"
"21299";2013-08-10;7195419010;"60,95"
"23470";2013-08-10;3775553021;"19,57"
"31011";2013-08-10;2242768012;"41,00"
"42444";2013-08-10;1069356018;"85,89"
"18340";2013-08-11;2166898019;"40,00"
"33711";2013-08-11;3832625044;"32,00"
"33903";2013-08-11;2298779012;"78,02"
"36007";2013-08-11;1091969028;"60,00"
"39389";2013-08-11;1152040016;"38,10"
"829";2013-08-12;7231150017;"16,49"
"5286";2013-08-12;3603736012;"40,00"
"7939";2013-08-12;3690829019;"50,00"
"8456";2013-08-12;3854620014;"50,02"
"8940";2013-08-12;2251768028;"100,00"
"13593";2013-08-12;7193456014;"47,27"
"14305";2013-08-12;7055082015;"52,50"
"15982";2013-08-12;2036308017;"44,66"
"17211";2013-08-12;1221908011;"73,47"
"20148";2013-08-12;3681930032;"55,40"
"30326";2013-08-12;1271062016;"60,00"
"33262";2013-08-12;1287776013;"72,52"
"36820";2013-08-12;58063015;"47,74"
"38330";2013-08-12;1327835029;"29,31"
"38814";2013-08-12;78929039;"49,50"
"39046";2013-08-12;2323813018;"79,02"
"42038";2013-08-12;3991492020;"71,51"
"42421";2013-08-12;7047134015;"64,40"
"42670";2013-08-12;2109591010;"49,33"
"43190";2013-08-12;1167930039;"14,50"
"363";2013-08-13;1251716011;"30,00"
"10328";2013-08-13;1156857019;"80,00"
"12295";2013-08-13;1075285011;"28,60"
"13333";2013-08-13;1435209059;"47,75"
"13363";2013-08-13;55102014;"51,99"
"13588";2013-08-13;2305765012;"50,02"
"22486";2013-08-13;1339270025;"15,24"
"27605";2013-08-13;60809025;"73,00"
"29763";2013-08-13;3658293034;"30,00"
"42427";2013-08-13;1382000022;"46,04"
"618";2013-08-14;1055503011;"49,19"
"1407";2013-08-14;1117745014;"40,00"
"3803";2013-08-14;2166898019;"90,45"
"4743";2013-08-14;2036308017;"39,70"
"4996";2013-08-14;3977600034;"79,90"
"6391";2013-08-14;1001971015;"39,10"
"9405";2013-08-14;1737873016;"60,02"
"13277";2013-08-14;44081014;"54,01"
"13394";2013-08-14;3197932019;"34,00"
"17554";2013-08-14;2321670014;"20,00"
"17824";2013-08-14;1425630025;"45,28"
"20881";2013-08-14;2197186012;"52,57"
"28089";2013-08-14;1072296029;"52,94"
"31638";2013-08-14;3673675017;"84,76"
"34300";2013-08-14;52809017;"40,00"
"35296";2013-08-14;3225990013;"75,69"
"607";2013-08-15;1289119024;"30,00"
"12273";2013-08-15;21616014;"51,41"
"15575";2013-08-15;2163027018;"36,00"
"19122";2013-08-15;3431289010;"88,01"
"30557";2013-08-15;3769152020;"50,00"
"1282";2013-08-16;5605033;"57,90"
"1429";2013-08-16;2323813018;"61,46"
"2634";2013-08-16;1056199017;"46,00"
"2832";2013-08-16;2324411010;"50,00"
"3067";2013-08-16;2014029015;"65,00"
"4629";2013-08-16;79211015;"55,65"
"4844";2013-08-16;1476886013;"78,56"
"6252";2013-08-16;1396652016;"43,20"
"8282";2013-08-16;3618552016;"51,96"
"13914";2013-08-16;2246998011;"40,00"
"13936";2013-08-16;3663240012;"61,65"
"14047";2013-08-16;7160365016;"47,01"
"14856";2013-08-16;7203523019;"58,45"
"17058";2013-08-16;2205781010;"63,75"
"20409";2013-08-16;3713271017;"63,00"
"21368";2013-08-16;1416444030;"50,12"
"27269";2013-08-16;3671255010;"62,30"
"32286";2013-08-16;24427021;"49,62"
"33608";2013-08-16;3755690017;"38,11"
"34097";2013-08-16;3991492020;"47,88"
"38886";2013-08-16;2166898019;"60,00"
"39166";2013-08-16;2272957014;"53,21"
"40386";2013-08-16;7093812019;"66,26"
"42148";2013-08-16;1476886013;"42,40"
"3222";2013-08-17;24427021;"9,92"
"8179";2013-08-17;81769018;"23,16"
"39766";2013-08-17;1176877023;"45,00"
"42419";2013-08-17;1167930039;"9,83"
"3963";2013-08-18;1409442025;"60,00"
"14060";2013-08-18;7236159013;"29,01"
"17709";2013-08-18;3413689013;"47,47"
"30413";2013-08-18;24427021;"14,89"
"30889";2013-08-18;21616014;"43,46"
"37739";2013-08-18;12225023;"59,11"
"41303";2013-08-18;2166898019;"60,00"
"1309";2013-08-19;1224163010;"75,75"
"7241";2013-08-19;55102014;"50,00"
"11395";2013-08-19;7203523019;"59,82"
"19771";2013-08-19;3736936018;"60,60"
"20225";2013-08-19;7166279013;"48,87"
"23238";2013-08-19;3658293034;"30,00"
"24252";2013-08-19;2084368012;"70,44"
"25345";2013-08-19;2166898019;"40,00"
"32582";2013-08-19;3788982019;"40,00"
"34570";2013-08-19;78929039;"67,12"
"35799";2013-08-19;3771410010;"71,70"
"38029";2013-08-19;2036308017;"59,75"
"38763";2013-08-19;1354568014;"54,20"
"5141";2013-08-20;81769018;"55,51"
"6962";2013-08-20;7090699013;"95,82"
"17203";2013-08-20;2305934014;"56,52"
"18775";2013-08-20;2305765012;"60,00"
"42394";2013-08-20;3960885014;"42,00"
"3464";2013-08-21;3681930024;"60,00"
"4351";2013-08-21;1167930039;"10,38"
"6798";2013-08-21;1240886026;"30,00"
"7743";2013-08-21;1072860014;"40,00"
"9265";2013-08-21;2162322014;"57,01"
"9341";2013-08-21;3991960018;"98,00"
"9585";2013-08-21;3623978016;"90,51"
"12743";2013-08-21;1363641026;"30,00"
"17674";2013-08-21;24427021;"9,93"
"21914";2013-08-21;7167066021;"65,16"
"26778";2013-08-21;1226862025;"49,63"
"27700";2013-08-21;7169515017;"79,00"
"30120";2013-08-21;3947491019;"40,00"
"31630";2013-08-21;2242768012;"55,20"
"35951";2013-08-21;2166898019;"40,00"
"38888";2013-08-21;3832625044;"50,02"
"1598";2013-08-22;1039957020;"94,96"
"2142";2013-08-22;3639213010;"13,67"
"3904";2013-08-22;3507150021;"40,00"
"15866";2013-08-22;3769152020;"50,00"
"18141";2013-08-22;24427021;"14,89"
"19529";2013-08-22;1203071010;"20,00"
"26907";2013-08-22;1189895010;"30,00"
"28129";2013-08-22;1156857019;"60,01"
"33302";2013-08-22;2562021;"41,00"
"35116";2013-08-22;2321947016;"69,31"
"37224";2013-08-22;2156731014;"40,00"
"39710";2013-08-22;1117745014;"40,00"
"1192";2013-08-23;3909357018;"35,00"
"3471";2013-08-23;3676777034;"30,00"
"8806";2013-08-23;1413317023;"23,00"
"13355";2013-08-23;2197186012;"40,02"
"13616";2013-08-23;9531410028;"56,07"
"13655";2013-08-23;1189895010;"51,56"
"15003";2013-08-23;2166898019;"40,00"
"15412";2013-08-23;2282040017;"60,00"
"20925";2013-08-23;51398020;"51,10"
"21576";2013-08-23;1288334012;"86,00"
"22695";2013-08-23;3681930032;"65,00"
"23350";2013-08-23;2321945010;"75,63"
"27235";2013-08-23;7222012036;"40,00"
"29785";2013-08-23;1203071010;"46,50"
"36947";2013-08-23;3573586017;"30,00"
"38455";2013-08-23;3194639039;"82,00"
"39303";2013-08-23;79211015;"38,19"
"40057";2013-08-23;1416444030;"58,12"
"804";2013-08-24;1176877023;"56,03"
"6143";2013-08-24;7098742021;"17,86"
"8305";2013-08-24;7231150017;"15,00"
"23537";2013-08-24;2032049029;"50,00"
"25102";2013-08-24;24427021;"9,92"
"26943";2013-08-24;3775553021;"19,58"
"27301";2013-08-24;51211017;"59,02"
"28225";2013-08-24;3855571018;"71,34"
"3668";2013-08-25;24427021;"9,92"
"22920";2013-08-25;2087623017;"20,00"
"25227";2013-08-25;2191897010;"55,39"
"34761";2013-08-25;2086060013;"19,85"
"154";2013-08-26;2083547012;"66,50"
"2206";2013-08-26;3569967015;"55,50"
"3476";2013-08-26;20811046;"68,72"
"4212";2013-08-26;1117745014;"40,00"
"6086";2013-08-26;3771410010;"60,48"
"13068";2013-08-26;3899811016;"53,89"
"16259";2013-08-26;2166898019;"40,00"
"16662";2013-08-26;7065407012;"69,70"
"16960";2013-08-26;2104521012;"69,51"
"25978";2013-08-26;7171646032;"65,69"
"31650";2013-08-26;1109145017;"40,60"
"32039";2013-08-26;65424010;"28,00"
"32927";2013-08-26;24427021;"9,92"
"34745";2013-08-26;7090699013;"84,04"
"38991";2013-08-26;7213334019;"66,00"
"466";2013-08-27;2151475013;"40,00"
"3306";2013-08-27;7040782018;"50,85"
"6397";2013-08-27;4127111054;"59,85"
"13345";2013-08-27;1460772021;"20,00"
"32725";2013-08-27;1176059026;"40,00"
"5534";2013-08-28;1425630033;"79,00"
"5539";2013-08-28;3639213010;"50,00"
"7210";2013-08-28;1103521015;"65,50"
"12678";2013-08-28;1082011012;"46,57"
"12791";2013-08-28;81769018;"50,00"
"14707";2013-08-28;3367685017;"69,26"
"20157";2013-08-28;7194971011;"55,58"
"21977";2013-08-28;1382780029;"94,61"
"22386";2013-08-28;2000148019;"69,48"
"23780";2013-08-28;3426486019;"41,30"
"24931";2013-08-28;3713271017;"50,00"
"28762";2013-08-28;24427021;"19,85"
"35791";2013-08-28;2197186012;"58,39"
"38281";2013-08-28;20121024;"50,00"
"41185";2013-08-28;1224163010;"58,50"
"41897";2013-08-28;1072860014;"40,00"
"42658";2013-08-28;2156731014;"20,00"
"42919";2013-08-28;9587880025;"30,00"
"6565";2013-08-29;7270026;"66,01"
"6970";2013-08-29;1176059026;"41,40"
"7662";2013-08-29;2324667017;"92,52"
"11793";2013-08-29;2242768012;"40,00"
"13410";2013-08-29;7160365016;"53,00"
"14187";2013-08-29;2166898019;"40,00"
"17454";2013-08-29;2162322014;"49,01"
"19013";2013-08-29;3947491019;"60,01"
"19501";2013-08-29;2321945010;"64,43"
"25270";2013-08-29;7193456014;"46,57"
"25365";2013-08-29;2194211011;"20,00"
"26952";2013-08-29;3813699018;"25,01"
"29570";2013-08-29;1176877023;"41,01"
"36536";2013-08-29;7192411010;"13,54"
"40731";2013-08-29;21616014;"66,22"
"310";2013-08-30;3671255010;"64,00"
"438";2013-08-30;1396652016;"17,41"
"1961";2013-08-30;2166898019;"94,47"
"2428";2013-08-30;1152040016;"12,68"
"3384";2013-08-30;7222012036;"40,00"
"3420";2013-08-30;3713271017;"50,00"
"3475";2013-08-30;10253019;"75,90"
"4997";2013-08-30;7169515017;"60,00"
"5733";2013-08-30;2280286026;"85,02"
"6552";2013-08-30;1316659018;"40,00"
"7220";2013-08-30;1698743034;"47,01"
"8629";2013-08-30;2205781010;"58,18"
"12925";2013-08-30;3991492020;"67,06"
"13466";2013-08-30;3583791011;"10,00"
"15431";2013-08-30;3507150021;"40,00"
"15439";2013-08-30;9568170032;"40,00"
"19799";2013-08-30;2246998011;"40,00"
"19867";2013-08-30;1396652016;"65,42"
"23529";2013-08-30;1306839026;"55,00"
"25490";2013-08-30;3534826015;"50,00"
"33684";2013-08-30;2033353024;"53,47"
"34993";2013-08-30;1354568014;"50,00"
"37053";2013-08-30;24427021;"14,89"
"38699";2013-08-30;2282040017;"64,09"
"39379";2013-08-30;1055503011;"39,24"
"40329";2013-08-30;1091969028;"60,00"
"40404";2013-08-30;1082061025;"79,06"
"21171";2013-08-31;3736936018;"57,33"
"22270";2013-08-31;2272957014;"39,70"
"25049";2013-08-31;1226862025;"49,63"
"29293";2013-08-31;3413689013;"53,12"
"29575";2013-08-31;1189895010;"20,00"
"30993";2013-08-31;1055503011;"40,00"
"35059";2013-08-31;3681930032;"65,00"
"38034";2013-08-31;81769018;"50,00"
"39895";2013-08-31;3832625044;"51,20"
"41886";2013-08-31;7192411010;"8,53"
"42594";2013-08-31;3487689022;"89,95"
"3960";2013-09-01;2168310013;"39,58"
"8118";2013-09-01;2015909017;"48,96"
"9978";2013-09-01;7164870011;"54,50"
"21338";2013-09-01;7203523019;"60,70"
"26134";2013-09-01;2283261018;"61,34"
"33365";2013-09-01;7160569013;"55,01"
"36864";2013-09-01;1700752023;"40,00"
"36939";2013-09-01;7101279029;"63,00"
"37580";2013-09-01;10895017;"40,00"
"2196";2013-09-02;24427021;"19,85"
"2397";2013-09-02;3730409038;"81,81"
"2871";2013-09-02;2166898019;"40,00"
"2925";2013-09-02;7055082015;"55,00"
"3561";2013-09-02;3733445013;"30,00"
"6666";2013-09-02;2280304019;"121,47"
"17175";2013-09-02;7026170014;"16,89"
"18545";2013-09-02;3658293034;"30,00"
"24772";2013-09-02;2323813018;"84,01"
"25057";2013-09-02;55102014;"40,00"
"28471";2013-09-02;7047134015;"64,00"
"29648";2013-09-02;7130887024;"40,00"
"33366";2013-09-02;1357714029;"56,00"
"33697";2013-09-02;7124107025;"50,00"
"34755";2013-09-02;1008104016;"50,00"
"35338";2013-09-02;2319647016;"49,63"
"35669";2013-09-02;1167373014;"47,49"
"40330";2013-09-02;81769018;"50,00"
"42851";2013-09-02;3681930032;"67,50"
"42939";2013-09-02;3771410010;"62,52"
"43052";2013-09-02;2116575014;"40,00"
"43164";2013-09-02;2332826019;"89,50"
"10";2013-09-03;3775553021;"20,00"
"1408";2013-09-03;1255418028;"53,53"
"2614";2013-09-03;12225023;"24,99"
"3684";2013-09-03;7192411010;"14,21"
"4555";2013-09-03;1363641026;"50,00"
"6495";2013-09-03;76223013;"66,00"
"25614";2013-09-03;3960885014;"71,00"
"28730";2013-09-03;3555478035;"40,10"
"29691";2013-09-03;62351018;"78,00"
"38407";2013-09-03;39374010;"63,00"
"40208";2013-09-03;2036308017;"39,71"
"42832";2013-09-03;1082011012;"45,70"
"1950";2013-09-04;2203305010;"68,12"
"4054";2013-09-04;1425630033;"47,50"
"7614";2013-09-04;3555478035;"40,04"
"11479";2013-09-04;1203071010;"20,00"
"12922";2013-09-04;24427021;"29,78"
"13762";2013-09-04;1117745014;"40,00"
"17363";2013-09-04;3228522037;"73,01"
"19086";2013-09-04;2280304019;"60,23"
"23123";2013-09-04;7232204011;"50,00"
"23691";2013-09-04;3668181013;"59,40"
"25426";2013-09-04;1176059026;"40,00"
"31405";2013-09-04;2271299012;"30,00"
"38237";2013-09-04;1363641026;"50,00"
"39429";2013-09-04;2323813018;"51,00"
"39852";2013-09-04;3220838027;"65,20"
"40616";2013-09-04;2119308017;"17,91"
"1324";2013-09-05;7055082015;"48,00"
"3293";2013-09-05;2156731014;"20,00"
"6720";2013-09-05;1117610010;"60,00"
"8585";2013-09-05;1409442025;"80,01"
"13282";2013-09-05;3671255010;"50,00"
"17371";2013-09-05;1379705013;"41,20"
"24793";2013-09-05;2319600015;"15,00"
"25510";2013-09-05;73113027;"41,00"
"25534";2013-09-05;3854620014;"65,70"
"29204";2013-09-05;3771410010;"54,60"
"30529";2013-09-05;2084265010;"54,50"
"31004";2013-09-05;1176877023;"56,00"
"31636";2013-09-05;36202016;"72,02"
"32323";2013-09-05;1363641026;"50,00"
"34039";2013-09-05;81769018;"40,00"
"34385";2013-09-05;2033353024;"50,00"
"35586";2013-09-05;2166898019;"40,00"
"38402";2013-09-05;32087023;"10,00"
"850";2013-09-06;1055503011;"59,24"
"2651";2013-09-06;44081014;"41,63"
"5552";2013-09-06;2120140011;"105,99"
"11607";2013-09-06;1254687011;"50,00"
"18751";2013-09-06;1268630015;"94,73"
"19189";2013-09-06;9507730078;"30,00"
"20501";2013-09-06;1396652016;"17,06"
"25306";2013-09-06;62351018;"40,00"
"26655";2013-09-06;1411033036;"57,31"
"26701";2013-09-06;3713271017;"50,00"
"27024";2013-09-06;7225941017;"74,04"
"27103";2013-09-06;3755690017;"45,00"
"27581";2013-09-06;3813699018;"30,00"
"27671";2013-09-06;1359443023;"66,87"
"27795";2013-09-06;1284072046;"74,23"
"30107";2013-09-06;2057826012;"40,00"
"30800";2013-09-06;1152040016;"20,00"
"31339";2013-09-06;2106332012;"50,48"
"34702";2013-09-06;2000474019;"68,54"
"36616";2013-09-06;3770615015;"35,00"
"36950";2013-09-06;3507150021;"62,53"
"37707";2013-09-06;3515809022;"40,00"
"39251";2013-09-06;3620183016;"74,91"
"39975";2013-09-06;1271062016;"50,00"
"40859";2013-09-06;2014029015;"76,06"
"5346";2013-09-07;1094165020;"20,00"
"6025";2013-09-07;1170035014;"31,50"
"7620";2013-09-07;3987547027;"20,00"
"8101";2013-09-07;3603540034;"56,02"
"14044";2013-09-07;1382780029;"73,20"
"21991";2013-09-07;71893018;"3,55"
"24231";2013-09-07;1289119024;"30,00"
"25332";2013-09-07;7231150017;"17,00"
"26234";2013-09-07;1325897013;"40,23"
"31264";2013-09-07;2272957014;"29,78"
"39854";2013-09-07;1091969028;"40,00"
"40969";2013-09-07;44081014;"58,19"
"3538";2013-09-08;3590631010;"55,00"
"25810";2013-09-08;24427021;"19,86"
"27761";2013-09-08;1265407021;"40,00"
"27840";2013-09-08;1408026019;"40,00"
"28149";2013-09-08;2007529021;"30,00"
"33383";2013-09-08;7203523019;"69,45"
"33498";2013-09-08;3550626018;"24,89"
"37536";2013-09-08;79674014;"62,11"
"41483";2013-09-08;3775553021;"29,35"
"42028";2013-09-08;3378174019;"13,49"
"2156";2013-09-09;3854620014;"48,00"
"5113";2013-09-09;3689627036;"30,00"
"7443";2013-09-09;78929039;"45,48"
"9063";2013-09-09;38407019;"20,00"
"9441";2013-09-09;10253019;"25,80"
"10009";2013-09-09;3899811016;"53,46"
"11356";2013-09-09;1327835029;"29,35"
"12181";2013-09-09;55102014;"40,00"
"12736";2013-09-09;1167373014;"46,69"
"13161";2013-09-09;3788982019;"40,00"
"13685";2013-09-09;3746135031;"50,00"
"15615";2013-09-09;2242768012;"40,00"
"16349";2013-09-09;20811046;"75,31"
"18862";2013-09-09;7201701013;"20,00"
"21380";2013-09-09;1177126022;"50,00"
"21595";2013-09-09;24427021;"9,93"
"22016";2013-09-09;1339270025;"16,11"
"22029";2013-09-09;2317254013;"50,00"
"22500";2013-09-09;1158516027;"75,00"
"23857";2013-09-09;1275582019;"31,00"
"24164";2013-09-09;3991492020;"75,01"
"24407";2013-09-09;7055082015;"53,00"
"24784";2013-09-09;3673740027;"23,77"
"26100";2013-09-09;45431010;"76,44"
"34539";2013-09-09;2323813018;"60,02"
"40182";2013-09-09;3681930024;"57,00"
"40328";2013-09-09;1072860014;"40,00"
"40525";2013-09-09;2272957014;"54,53"
"40928";2013-09-09;1075285011;"65,67"
"41266";2013-09-09;55102014;"40,00"
"42689";2013-09-09;2205781010;"58,39"
"42840";2013-09-09;3983945027;"57,90"
"1560";2013-09-10;3832625044;"46,00"
"3725";2013-09-10;2305765012;"45,00"
"7451";2013-09-10;1021117011;"30,00"
"9183";2013-09-10;3690829019;"50,00"
"11151";2013-09-10;2166898019;"40,00"
"16246";2013-09-10;1435209059;"41,00"
"16807";2013-09-10;2280298013;"116,73"
"26762";2013-09-10;2036308017;"39,71"
"26939";2013-09-10;2064568011;"50,00"
"34222";2013-09-10;3197932019;"42,00"
"35427";2013-09-10;2120140011;"19,00"
"35622";2013-09-10;3388108106;"50,00"
"36861";2013-09-10;51211017;"30,00"
"37310";2013-09-10;1072296029;"70,33"
"41980";2013-09-10;2173492012;"50,00"
"3484";2013-09-11;2323813018;"36,40"
"6150";2013-09-11;3789028028;"80,25"
"6700";2013-09-11;1287776013;"116,01"
"6779";2013-09-11;2319600015;"30,00"
"6956";2013-09-11;1288334012;"22,60"
"12420";2013-09-11;7233481014;"60,01"
"18299";2013-09-11;7124107025;"50,00"
"19509";2013-09-11;7078376014;"50,17"
"20687";2013-09-11;2156731014;"20,00"
"22117";2013-09-11;1040052027;"69,97"
"22922";2013-09-11;7195419010;"50,00"
"33525";2013-09-11;3543445039;"25,00"
"41938";2013-09-11;23818014;"56,36"
"1089";2013-09-12;1110633019;"40,00"
"3404";2013-09-12;2033353024;"54,60"
"3774";2013-09-12;2229745017;"47,21"
"12147";2013-09-12;7090699013;"77,32"
"13071";2013-09-12;71935025;"50,00"
"16015";2013-09-12;7170425032;"30,00"
"16529";2013-09-12;1425630033;"78,77"
"17210";2013-09-12;2280304019;"87,59"
"19256";2013-09-12;3736936018;"62,40"
"20230";2013-09-12;1185269012;"48,21"
"21746";2013-09-12;24427021;"19,85"
"33463";2013-09-12;7035030035;"77,66"
"33572";2013-09-12;3431289010;"78,17"
"33636";2013-09-12;2014029015;"20,00"
"35341";2013-09-12;2166898019;"40,00"
"35870";2013-09-12;1001971015;"48,90"
"37567";2013-09-12;1411266024;"77,33"
"41468";2013-09-12;2156731014;"40,00"
"1356";2013-09-13;1409442025;"78,00"
"3479";2013-09-13;7231150017;"47,00"
"4878";2013-09-13;2323813018;"53,00"
"6832";2013-09-13;2205781010;"57,16"
"6857";2013-09-13;7055082015;"54,00"
"6973";2013-09-13;58506013;"71,13"
"9529";2013-09-13;2036308017;"39,71"
"12264";2013-09-13;1430424018;"16,02"
"15094";2013-09-13;1476886013;"10,65"
"18594";2013-09-13;3673675017;"71,75"
"19676";2013-09-13;3733445013;"30,00"
"20340";2013-09-13;1325873048;"72,01"
"21424";2013-09-13;1265407021;"40,00"
"22686";2013-09-13;81769018;"50,00"
"25724";2013-09-13;54233018;"58,62"
"29929";2013-09-13;2166898019;"60,00"
"31060";2013-09-13;1396652016;"16,92"
"31784";2013-09-13;2291956013;"66,30"
"40912";2013-09-13;3534826015;"60,00"
"41368";2013-09-13;1051879037;"40,52"
"42163";2013-09-13;1039957020;"95,01"
"2208";2013-09-14;24427021;"29,78"
"3082";2013-09-14;1263567016;"95,27"
"5630";2013-09-14;2298779012;"60,00"
"7068";2013-09-14;7192411010;"41,62"
"13555";2013-09-14;3681930032;"54,99"
"20067";2013-09-14;2166898019;"40,00"
"21635";2013-09-14;3590631010;"45,01"
"29242";2013-09-14;9584830023;"40,00"
"30301";2013-09-14;3378174019;"50,00"
"30896";2013-09-14;9592110012;"60,00"
"33077";2013-09-14;7192411010;"9,19"
"35084";2013-09-14;3671255010;"64,50"
"36246";2013-09-14;1284725013;"40,36"
"37431";2013-09-14;1055503011;"63,63"
"41107";2013-09-14;3663240012;"55,02"
